state,district,migration_pressure_score,migration_pressure_category,score_climate,score_agriculture,score_poverty,score_demographics,rainfall_cv,drought_freq,flood_freq,yield_cv,production_std,mpi,headcount_ratio,marginal_worker_rate,worker_ratio,rainfall_cv_imp,drought_freq_imp,flood_freq_imp,yield_cv_imp,production_std_imp,mpi_imp,headcount_ratio_imp,marginal_worker_rate_imp,worker_ratio_imp
MAHARASHTRA,Thane,0.216152,Low,0.320112557,0.000189359,0.189696606,0.377608242,0.168292721,0.166666667,0.166666667,0.283331502,104426.9877,0.07080347,15.705792,0.050836209,0.406212195,0.168292721,0.166666667,0.166666667,0.283331502,104426.9877,0.07080347,15.705792,0.050836209,0.406212195
WEST BENGAL,North Twenty Four Parganas,0.207058,Low,0.286431062,0.054709966,0.109201322,0.438862508,0.115656815,0.166666667,0.166666667,,,0.03803553,9.637956,0.05154898,0.356813401,0.115656815,0.166666667,0.166666667,86.58256016,3164518.72,0.03803553,9.637956,0.05154898,0.356813401
KARNATAKA,Bangalore,0.187567,Low,0.3584717,0.037695516,0.019576664,0.31855793,,,,,,0.00690498,1.865421,0.04038694,0.441397338,0.228238642,0.166666667,0.166666667,54.03109073,6065084.374,0.00690498,1.865421,0.04038694,0.441397338
MAHARASHTRA,Pune,0.177814,Low,0.314376682,0.014173591,0.065254766,0.319503054,0.159328957,0.166666667,0.166666667,16.98174648,4619388.826,0.02268774,5.842575,0.031579077,0.429400552,0.159328957,0.166666667,0.166666667,16.98174648,4619388.826,0.02268774,5.842575,0.031579077,0.429400552
MAHARASHTRA,Mumbai Suburban,0.16919,Low,0.310010669,0.000258361,0.036299217,0.343649099,0.152505951,0.166666667,0.166666667,0.55027239,93.33809512,0.01340695,3.18398,0.023415613,0.399170265,0.152505951,0.166666667,0.166666667,0.55027239,93.33809512,0.01340695,3.18398,0.023415613,0.399170265
WEST BENGAL,South Twenty Four Parganas,0.337175,High,0.424769103,0.054709966,0.379083473,0.533713714,0.201615666,0.25,0.166666667,,,0.13444576,32.536347,0.117717911,0.363208548,0.201615666,0.25,0.166666667,86.58256016,3164518.72,0.13444576,32.536347,0.117717911,0.363208548
WEST BENGAL,Barddhaman,0.294416,Medium,0.367542582,0.054709966,0.31818121,0.483688556,,,,,,0.11572302,26.793086,0.096469442,0.377224132,0.177299435,0.208333333,0.166666667,86.58256016,3164518.72,0.11572302,26.793086,0.096469442,0.377224132
GUJARAT,Ahmadabad,0.228987,Low,0.411044286,0.00143837,0.091943463,0.411838403,,,,2.099323183,285012.1431,0.0319561,8.157443,0.036392405,0.359699344,0.310396684,0.166666667,0.166666667,2.099323183,285012.1431,0.0319561,8.157443,0.036392405,0.359699344
WEST BENGAL,Murshidabad,0.302675,Medium,0.361775765,0.073077537,0.347077013,0.473432516,0.189992239,0.083333333,0.25,99.19929523,15485964.18,0.12591504,29.269545,0.079932352,0.364580147,0.189992239,0.083333333,0.25,99.19929523,15485964.18,0.12591504,29.269545,0.079932352,0.364580147
RAJASTHAN,Jaipur,0.290789,Medium,0.51143272,0.000778277,0.185252867,0.435199989,0.33704962,0.25,0.166666667,0.920357903,339978.9834,0.06551407,16.031647,0.06110355,0.371993176,0.33704962,0.25,0.166666667,0.920357903,339978.9834,0.06551407,16.031647,0.06110355,0.371993176
MAHARASHTRA,Nashik,0.225568,Low,0.334949026,0.01203788,0.239228842,0.303462187,0.191478478,0.166666667,0.166666667,18.85114504,897676.6336,0.08670465,20.248884,0.039347903,0.45247149,0.191478478,0.166666667,0.166666667,18.85114504,897676.6336,0.08670465,20.248884,0.039347903,0.45247149
GUJARAT,Surat,0.19331,Low,0.326697995,0.002555706,0.121365731,0.31990302,0.352223526,0.166666667,0.083333333,1.156982457,2207621.551,0.0422112,10.702302,0.024378581,0.41989916,0.352223526,0.166666667,0.083333333,1.156982457,2207621.551,0.0422112,10.702302,0.024378581,0.41989916
UTTAR PRADESH,Allahabad,0.316211,High,0.368131292,0.000841842,0.402740616,0.576461748,0.243334213,0.166666667,0.166666667,1.21490697,210494.8769,0.14703621,33.757616,0.138582602,0.354680605,0.243334213,0.166666667,0.166666667,1.21490697,210494.8769,0.14703621,33.757616,0.138582602,0.354680605
WEST BENGAL,Paschim Medinipur,0.321976,High,0.367542582,0.054709966,0.395441497,0.538657692,,,,,,0.13801251,34.35656,0.168870933,0.424313392,0.177299435,0.208333333,0.166666667,86.58256016,3164518.72,0.13801251,34.35656,0.168870933,0.424313392
BIHAR,Patna,0.260022,Medium,0.270445313,0.000596825,0.338933016,0.536555414,0.35113409,0,0.166666667,0.945946076,115189.8258,0.12480551,28.236842,0.087457748,0.322325474,0.35113409,0,0.166666667,0.945946076,115189.8258,0.12480551,28.236842,0.087457748,0.322325474
WEST BENGAL,Hugli,0.260441,Medium,0.367542582,0.054709966,0.207552803,0.441567561,,,,,,0.07384632,17.854208,0.079400885,0.3900731,0.177299435,0.208333333,0.166666667,86.58256016,3164518.72,0.07384632,17.854208,0.079400885,0.3900731
ANDHRA PRADESH,Rangareddy,0.18698,Low,0.185410332,0.087947763,0.163795056,0.394336223,,,,,,,,0.068211944,0.414609285,0.26165514,0.083333333,0.083333333,145.3701609,792641.6577,0.05886256,14.018535,0.068211944,0.414609285
WEST BENGAL,Nadia,0.20083,Low,0.230451755,0.036871414,0.183862415,0.433259283,0.158404441,0.083333333,0.166666667,59.37576686,1457062.569,0.06402529,16.102036,0.047744988,0.3565692,0.158404441,0.083333333,0.166666667,59.37576686,1457062.569,0.06402529,16.102036,0.047744988,0.3565692
ANDHRA PRADESH,East Godavari,0.240605,Low,0.185410332,0.34364963,0.117539572,0.402762231,,,,167.6771327,277522939.5,0.04133015,10.285435,0.06704388,0.406201157,0.26165514,0.083333333,0.083333333,167.6771327,277522939.5,0.04133015,10.285435,0.06704388,0.406201157
BIHAR,Purba Champaran,0.418282,High,0.400161914,0.000721606,0.774720982,0.562434148,,,,,,0.30025563,61.457335,0.118593058,0.340735946,0.29339021,0.166666667,0.166666667,1.151391411,116750.172,0.30025563,61.457335,0.118593058,0.340735946
WEST BENGAL,Purba Medinipur,0.281306,Medium,0.367542582,0.054709966,0.210803549,0.575251825,,,,,,0.07196322,18.708052,0.15365526,0.374875757,0.177299435,0.208333333,0.166666667,86.58256016,3164518.72,0.07196322,18.708052,0.15365526,0.374875757
ANDHRA PRADESH,Guntur,0.161645,Low,0.185410332,0.093698528,0.120845627,0.287437636,0.26165514,0.083333333,0.083333333,153.7909293,1583291.559,0.04214742,10.635006,0.05632335,0.487257594,0.26165514,0.083333333,0.083333333,153.7909293,1583291.559,0.04214742,10.635006,0.05632335,0.487257594
WEST BENGAL,Haora,0.252995,Medium,0.367542582,0.054709966,0.178724748,0.439973533,,,,,,0.06408108,15.30706,0.066716714,0.37522353,0.177299435,0.208333333,0.166666667,86.58256016,3164518.72,0.06408108,15.30706,0.066716714,0.37522353
BIHAR,Muzaffarpur,0.354742,High,0.331042251,0.00052656,0.590917885,0.606770847,0.445832224,0,0.166666667,0.732277717,181531.7539,0.22163151,48.323859,0.132737715,0.322342432,0.445832224,0,0.166666667,0.732277717,181531.7539,0.22163151,48.323859,0.132737715,0.322342432
KARNATAKA,Belgaum,0.23468,Low,0.3584717,0.027737831,0.182681983,0.377401817,,,,37.45469767,6065084.374,0.06170101,16.363125,0.077655507,0.440547562,0.228238642,0.166666667,0.166666667,37.45469767,6065084.374,0.06170101,16.363125,0.077655507,0.440547562
UTTAR PRADESH,Moradabad,0.307606,Medium,0.308646244,0.001416012,0.476929756,0.533288168,0.324013073,0.166666667,0.083333333,1.577515683,617472.9839,0.17946677,38.926732,0.065557965,0.297110062,0.324013073,0.166666667,0.083333333,1.577515683,617472.9839,0.17946677,38.926732,0.065557965,0.297110062
UTTAR PRADESH,Ghaziabad,0.280987,Medium,0.454160613,0.002214164,0.19396811,0.486569697,0.377776917,0.166666667,0.166666667,1.994279046,1243105.422,0.07043515,16.427868,0.057165163,0.324787121,0.377776917,0.166666667,0.166666667,1.994279046,1243105.422,0.07043515,16.427868,0.057165163,0.324787121
MAHARASHTRA,Nagpur,0.230976,Low,0.433720728,0.000744191,0.090525955,0.375710434,0.172195012,0.166666667,0.25,0.879214513,329276.9288,0.03054616,8.208732,0.045939354,0.401532587,0.172195012,0.166666667,0.25,0.879214513,329276.9288,0.03054616,8.208732,0.045939354,0.401532587
TAMIL NADU,Chennai,0.150231,Low,0.251415086,0.004514382,0.014522232,0.383174542,0.364804363,0.083333333,0.083333333,7.634134323,824.4865069,0.00537581,1.384088,0.042555284,0.391091417,0.364804363,0.083333333,0.083333333,7.634134323,824.4865069,0.00537581,1.384088,0.042555284,0.391091417
UTTAR PRADESH,Azamgarh,0.279028,Medium,0.209567001,0.000719578,0.444670585,0.628882293,0.299406082,0.083333333,0.083333333,0.866120097,310150.8803,0.15254545,39.113156,0.127388618,0.297368416,0.299406082,0.083333333,0.083333333,0.866120097,310150.8803,0.15254545,39.113156,0.127388618,0.297368416
UTTAR PRADESH,Lucknow,0.190541,Low,0.197694337,0.000779854,0.17497667,0.516058228,0.280852024,0.083333333,0.083333333,1.316160837,70231.3297,0.06192522,15.144161,0.085083831,0.336135175,0.280852024,0.083333333,0.083333333,1.316160837,70231.3297,0.06192522,15.144161,0.085083831,0.336135175
UTTAR PRADESH,Kanpur Nagar,0.16876,Low,0.149470445,0.000596029,0.170193139,0.491651035,0.335719459,0,0.083333333,0.577898662,366786.2695,0.06202275,14.395327,0.074884508,0.343187083,0.335719459,0,0.083333333,0.577898662,366786.2695,0.06202275,14.395327,0.074884508,0.343187083
MAHARASHTRA,Ahmadnagar,0.207486,Low,0.342803357,0.001250679,0.193432172,0.258891485,,,,,,0.06827572,16.756054,0.036348056,0.485254863,0.20375287,0.166666667,0.166666667,1.511906365,473660.9401,0.06827572,16.756054,0.036348056,0.485254863
ANDHRA PRADESH,Krishna,0.191057,Low,0.209900627,0.126670235,0.136419896,0.345462278,0.299927457,0.083333333,0.083333333,194.0528201,11617452.99,0.0473184,12.030967,0.067273683,0.453553129,0.299927457,0.083333333,0.083333333,194.0528201,11617452.99,0.0473184,12.030967,0.067273683,0.453553129
WEST BENGAL,Kolkata,0.151872,Low,0.199973676,0.054709966,0.0431535,0.38276868,0.154184534,0.166666667,0.083333333,,,0.01540481,3.851112,0.048773833,0.39934672,0.154184534,0.166666667,0.083333333,86.58256016,3164518.72,0.01540481,3.851112,0.048773833,0.39934672
UTTAR PRADESH,Jaunpur,0.377908,High,0.481199919,0.00084876,0.482741923,0.590599427,0.289803176,0.25,0.166666667,1.194774836,232208.3495,0.17138923,41.347769,0.120338997,0.319828606,0.289803176,0.25,0.166666667,1.194774836,232208.3495,0.17138923,41.347769,0.120338997,0.319828606
BIHAR,Madhubani,0.407721,High,0.428037062,0.000536339,0.704843076,0.543752546,0.293542375,0.083333333,0.25,0.867319475,100052.366,0.267928,56.926885,0.125428897,0.364787106,0.293542375,0.083333333,0.25,0.867319475,100052.366,0.267928,56.926885,0.125428897,0.364787106
UTTAR PRADESH,Sitapur,0.334202,High,0.201226262,0.002780972,0.725268119,0.545072685,0.286371555,0.083333333,0.083333333,1.207404289,2430302.865,0.27862606,58.014006,0.088974289,0.317262386,0.286371555,0.083333333,0.083333333,1.207404289,2430302.865,0.27862606,58.014006,0.088974289,0.317262386
UTTAR PRADESH,Bareilly,0.323284,High,0.330093363,0.001634814,0.508687356,0.534468688,0.314119808,0.083333333,0.166666667,1.010108753,1256645.443,0.1932809,41.152383,0.080492379,0.315165885,0.314119808,0.083333333,0.166666667,1.010108753,1256645.443,0.1932809,41.152383,0.080492379,0.315165885
UTTAR PRADESH,Gorakhpur,0.323804,High,0.399436132,0.001050682,0.354449489,0.634176577,0.292255991,0.166666667,0.166666667,1.224699037,442290.2456,0.12748361,30.0973,0.136289644,0.304359594,0.292255991,0.166666667,0.166666667,1.224699037,442290.2456,0.12748361,30.0973,0.136289644,0.304359594
UTTAR PRADESH,Agra,0.273147,Medium,0.229190932,0.001020576,0.453007306,0.529486924,0.330073468,0.083333333,0.083333333,1.046320341,530286.8277,0.16508636,38.004816,0.076781531,0.31452995,0.330073468,0.083333333,0.083333333,1.046320341,530286.8277,0.16508636,38.004816,0.076781531,0.31452995
BIHAR,Gaya,0.382561,High,0.366617292,0.000783207,0.677775987,0.564036169,0.240968202,0.166666667,0.166666667,1.178421312,168560.2356,0.25388947,55.459955,0.149611128,0.378935005,0.240968202,0.166666667,0.166666667,1.178421312,168560.2356,0.25388947,55.459955,0.149611128,0.378935005
